,企業名,キャッチコピー,ステータス,初年度年収
78,渡辺パイプ株式会社 | 圧倒的な商材力で資材をワンストップで提供する業界の先進的企業,【ルート営業】管材・住宅設備・電気資材の流通大手で長く働く 正社員,正社員,350万円～550万円
79,西日本旅客鉄道株式会社 | JR西日本｜東証プライム上場｜20名の大規模採用を実施！,【鉄道電気技術者】※電気工事の設計や設備保守等の経験者を歓迎 正社員,正社員,
80,株式会社YAZAWA LUMBER | ★完全週休2日（土日祝休み）／原則定時退社／テレワーク実施中,未経験からのチャレンジを応援！【営業事務】◎残業なし 正社員,正社員,
81,株式会社Rush up | スキル＆キャリア＆年収UP！★明確かつ正当な評価制度★,【Webプランナー】★若手活躍中 ★未経験歓迎 ★明確な評価制度 正社員,正社員,400万円～700万円
82,エムズワン株式会社 | ◎綺麗なオフィス勤務◎服装・髪型自由◎子連れ出勤OK,【フロント業務】☆未経験OK☆月給28万円～ 正社員,正社員,400万円～600万円
83,株式会社 One's Will | ★履歴書不要・面接保証★ノルマなし★残業月4.6H★在宅ワーク有,5G拡大を手がける【コーディネーター】最長1年の研修<高卒以上> 正社員,正社員,350万円～700万円
84,泉北ホーム株式会社 | 知名度◎地域密着型ハウスメーカー【大阪府緊急雇用対策に賛同】,月給36万円～も可！注文住宅の【施工管理スタッフ】※残業少なめ 正社員,正社員,
85,新エネルギー流通システム株式会社 | 未経験スタートでも月給28万円を約束！賞与年3回も嬉しい♪,暮らしや社会を支える【総合職(電気工事・業務サポート)】 正社員,正社員,400万円～500万円
86,泉北ホーム株式会社 | 経験やスキルにより月給27～40万円【大阪府緊急雇用対策に賛同】,未経験OK！【設計スタッフ】★基本残業ゼロ／休みも取得しやすい 正社員,正社員,
87,泉北ホーム株式会社 | CMでもお馴染み！知名度抜群の会社【大阪府緊急雇用対策に賛同】,家づくりの【管理スタッフ(積算・購買・調整など)】※未経験OK 正社員,正社員,
88,泉北ホーム株式会社 | 最高実績を今年も更新｜100％反響型提案｜平均年収700～800万円,年収1000万円も可能な【営業スタッフ】※テレアポ＆飛び込みなし 正社員,正社員,450万円～800万円
89,新エネルギー流通システム株式会社 | 賞与は年3回支給！手当＆福利厚生も充実しているから安心◎,初回配属地確約！地球環境に貢献できる【営業職】※未経験歓迎！ 正社員,正社員,350万円～500万円
90,奥村組土木興業株式会社 | 年間休日123日｜残業ほぼなし【大阪府緊急雇用対策に賛同】,未経験歓迎！【整備・オペレーター】土日祝完全休み／賞与年3回 正社員,正社員,300万円～420万円
91,株式会社LIXILトータルサービス | ★安心と信頼のLIXILグループ ★年休125日 ★完全週休2日制,未経験から住宅のプロへ！【総合職（施工管理・営業・メンテ）】 正社員,正社員,370万円～500万円
92,泉北ホーム株式会社 | 大阪府緊急雇用対策に賛同★産育休実績多数★本社に託児所あり,お客様に寄り添う【インテリアコーディネーター】★基本定時退社 正社員,正社員,320万円～550万円
93,有限会社古志建設運輸 | ≪業績＆利益3年以上右肩上がり≫ ★直行直帰｜年120日以上休★,<100％元請>【 土木施工管理 】完全土日休★17時退社(残業ナシ) 正社員,正社員,480万円～600万円
94,柏井建設株式会社 | 賞与年3回！業績堅調につき、決算賞与は10年連続支給中,改修・修繕専門の部署に配属【建築施工管理】★有資格者・経験者 正社員,正社員,
95,林建設株式会社 | <環境に貢献する会社> ★富山県SDGs宣言を実施しています！,『 鳥 』からまちを守る珍しい仕事【 技術スタッフ 】★未経験OK 正社員,正社員,
96,株式会社フジナガ | 業界シェアトップクラス！ 鳥害対策のリーディングカンパニー,私達にしかできないことがある【バードマイスター】入社祝金有り 正社員,正社員,360万円～460万円
97,明和建設株式会社 | ＜ 公共性の高い事業◎安定性も抜群 ＞★年間休日120日以上もOK,初心者さんも歓迎！【 総務スタッフ 】残業ほぼなし／定着率◎ 正社員,正社員,
98,東建コーポレーション株式会社 | ＼WEB面接実施／＊月給に加え　成果給＋賞与年5ヶ月分＊,未経験でも月給26.3万～【営業系総合職】全国/40歳迄/未経験歓迎 正社員,正社員,400万円～800万円
99,中日本ハイウェイ・エンジニアリング名古屋株式会社 | 【NEXCO中日本グループ】★賞与実績6ヵ月分／年間休日130日以上,【電気・通信、機械技術職（高速道路の点検・保守・管理等）】 正社員,正社員,490万円～600万円
100,株式会社元重建設 | 【働き方改革推進中】信頼性抜群/地域密着★案件は宇都宮市中心,誇れるモノづくりに挑戦する！【建築施工管理】★未経験OK 正社員,正社員,300万円～700万円
101,オリジナル設計株式会社 | ◆創業60年 ◆暮らしに欠かせない水インフラを支える安定企業,水処理施設の【建築・機械設計】★実務未経験OK ★高い社会貢献 正社員,正社員,360万円～650万円
102,日鉄精鋼株式会社 | 日本製鉄（プライム市場上場：旧東証一部上場）グループ,未経験OK【製造スタッフ】賞与4.5ヵ月／残業少なめ／久留米募集 正社員,正社員,
103,中日本ハイウェイ・エンジニアリング名古屋株式会社 | NEXCO中日本グループ／年間休日130日以上／賞与6ヶ月分支給,高速道路の【技術系総合職(土木、建築、電気・通信、機械)】 正社員,正社員,300万円～600万円
104,株式会社名陽建工 | <10年連続売上UP>★9割が公共事業 ★現場は名古屋市内が中心,『 気付いたら、長く勤めてた。』【作業スタッフ】*人物重視採用 正社員,正社員,300万円～500万円
105,株式会社ソリド　 | 2025年までに社員数3倍を目標に拡大中！業績好調の安定企業,太陽光パネルの設置工事を指揮する【施工管理】◎未経験大歓迎！ 正社員,正社員,350万円～400万円
106,伊野建設株式会社 | 『 私のこと誰も社長となんて呼びませんよ(笑)』社風はほのぼの,一言でいうとあったかい！街づくりを支える会社【作業スタッフ】 正社員,正社員,
107,株式会社川本 | 【100％官公庁案件だから安定】★20～30代の若手スタッフ活躍中,公共案件がメインの【営業職】◎賞与平均6ヶ月／最高7.5ヶ月 正社員,正社員,350万円～450万円
